Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Diadema,ABC,RRT Inicial,Meio Ambiente,10,22,20,3,27,21
Diadema,ABC,RRT Inicial,Conforto Ambiental,14,29,24,18,12,14
Diadema,ABC,RRT Inicial,Urbanismo e Desenho Urbano,41,37,43,21,48,21
Diadema,ABC,RRT Inicial,Arquitetura das Edificações,393,674,492,578,548,479
Diadema,ABC,RRT Inicial,Planejamento Urbano e Regional,1,0,1,0,0,1
Diadema,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,15,37,28,18,55,51
Diadema,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,3,3,2,0,4
Mauá,ABC,RRT Inicial,Meio Ambiente,3,2,3,12,5,14
Mauá,ABC,RRT Inicial,Conforto Ambiental,13,12,17,14,13,14
Mauá,ABC,RRT Inicial,Urbanismo e Desenho Urbano,16,17,10,10,11,38
Mauá,ABC,RRT Inicial,Arquitetura das Edificações,479,590,609,585,547,641
Mauá,ABC,RRT Inicial,Planejamento Urbano e Regional,2,0,1,6,0,2
Mauá,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,52,72,54,58,72,81
Mauá,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,4,0,0
Ribeirão Pires,ABC,RRT Inicial,Conforto Ambiental,1,2,0,3,2,5
Ribeirão Pires,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,1,0,2
Ribeirão Pires,ABC,RRT Inicial,Urbanismo e Desenho Urbano,78,45,57,86,57,94
Ribeirão Pires,ABC,RRT Inicial,Arquitetura das Edificações,339,333,346,397,475,410
Ribeirão Pires,ABC,RRT Inicial,Meio Ambiente,4,0,3,4,4,3
Ribeirão Pires,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,12,5,10,26,28,10
Rio Grande da Serra,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,0,1,0
Rio Grande da Serra,ABC,RRT Inicial,Conforto Ambiental,0,0,0,0,0,1
Rio Grande da Serra,ABC,RRT Inicial,Arquitetura das Edificações,72,58,28,51,46,45
Rio Grande da Serra,ABC,RRT Inicial,Urbanismo e Desenho Urbano,26,22,15,17,9,7
Rio Grande da Serra,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,19,6,10,10,8,6
Santo André,ABC,RRT Inicial,Planejamento Urbano e Regional,3,5,4,6,4,5
Santo André,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,32,67,73,68,80,56
Santo André,ABC,RRT Inicial,Urbanismo e Desenho Urbano,97,100,73,92,97,109
Santo André,ABC,RRT Inicial,Arquitetura das Edificações,2658,3822,3041,2623,2845,2875
Santo André,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",5,16,9,8,4,7
Santo André,ABC,RRT Inicial,Conforto Ambiental,75,85,94,86,105,114
Santo André,ABC,RRT Inicial,Meio Ambiente,27,55,46,58,63,34
São Bernardo do Campo,ABC,RRT Inicial,Urbanismo e Desenho Urbano,76,80,103,98,149,69
São Bernardo do Campo,ABC,RRT Inicial,Arquitetura das Edificações,2559,3041,2314,2631,3032,2057
São Bernardo do Campo,ABC,RRT Inicial,Conforto Ambiental,59,89,160,84,125,61
São Bernardo do Campo,ABC,RRT Inicial,Meio Ambiente,16,35,37,22,24,9
São Bernardo do Campo,ABC,RRT Inicial,Planejamento Urbano e Regional,1,2,2,1,6,3
São Bernardo do Campo,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",1,4,4,7,9,7
São Bernardo do Campo,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,11,18,24,24,30,24
São Caetano do Sul,ABC,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",1,0,0,2,5,4
São Caetano do Sul,ABC,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,3,4,2,3,5,4
São Caetano do Sul,ABC,RRT Inicial,Meio Ambiente,2,2,1,7,3,0
São Caetano do Sul,ABC,RRT Inicial,Urbanismo e Desenho Urbano,34,30,23,36,23,23
