Código IBGE,Município,Mitigação,Adaptação,Déficit Habitacional,Vulnerabilidade Social,Índice de Resiliência Climática e Territorial
3500758,Alambari,2,0,0,2,3
3501152,Alumínio,2,0,0,1,0
3501608,Americana,1,1,3,0,3
3502754,Araçariguama,2,1,1,2,1
3502903,Araçoiaba da Serra,0,1,0,1,0
3503802,Artur Nogueira,1,3,3,1,0
3507001,Boituva,1,0,3,1,0
3509502,Campinas,2,1,2,0,3
3510302,Capela do Alto,1,3,1,1,0
3511508,Cerquilho,1,0,3,1,0
3511607,Cesário Lange,1,0,0,3,3
3512803,Cosmópolis,0,3,2,0,3
3513801,Diadema,3,1,2,1,2
3515152,Engenheiro Coelho,1,0,0,3,3
3519055,Holambra,1,0,3,0,0
3519071,Hortolândia,1,1,3,0,2
3519709,Ibiúna,2,0,1,2,1
3520509,Indaiatuba,0,3,2,0,3
3521002,Iperó,2,3,1,2,1
3522307,Itapetininga,3,1,3,1,2
3523404,Itatiba,1,3,0,0,0
3523909,Itu,3,0,1,0,1
3524709,Jaguariúna,2,3,0,0,0
3525854,Jumirim,2,0,0,1,0
3528403,Mairinque,2,3,0,2,3
3529401,Mauá,0,1,2,1,1
3531803,Monte Mor,1,1,3,3,3
3532009,Morungaba,3,0,3,0,2
3533403,Nova Odessa,1,1,3,0,0
3536505,Paulínia,1,3,3,0,0
3537107,Pedreira,1,0,3,1,2
3537800,Piedade,1,0,0,0,0
3537909,Pilar do Sul,3,0,0,1,3
3540606,Porto Feliz,2,0,0,1,0
3543303,Ribeirão Pires,1,2,1,0,1
3544103,Rio Grande da Serra,0,2,1,0,1
3545209,Salto,1,1,0,0,3
3545308,Salto de Pirapora,0,1,0,2,3
3545803,Santa Bárbara D'Oeste,1,2,3,0,0
3547809,Santo André,3,2,2,1,2
3548005,Santo Antônio de Posse,2,1,2,3,3
3548708,São Bernardo do Campo,3,2,2,1,2
3548807,São Caetano do Sul,0,1,3,1,0
3550209,São Miguel Arcanjo,1,0,1,1,0
3550605,São Roque,2,1,1,2,1
3551108,Sarapuí,2,0,0,1,0
3552205,Sorocaba,0,1,2,0,3
3552403,Sumaré,0,2,2,0,3
3553500,Tapiraí,3,0,1,1,2
3554003,Tatuí,1,0,3,1,0
3554508,Tietê,2,0,3,1,0
3556206,Valinhos,0,2,3,0,3
3556701,Vinhedo,0,1,0,1,0
3557006,Votorantim,2,1,2,0,1
