Região,Código IBGE,Município,Área (Km²),População,Áreas verdes (m²/habitante),Uso total de energia elétrica residencial per capita (kWh/dia),Consumo doméstico total de água per capita (litros/dia),Emissão de gases de efeito de estufa medida em toneladas per capita,Porcentagem do orçamento municipal anual destinada às infraestruturas verde e azul ,Porcentagem de áreas designadas para proteção natural,"Porcentagem da área da cidade coberta com materiais com alto índice de albedo, o que contribui para a mitigação das ilhas de calor urbanas",Porcentagem de resíduos sólidos urbanos que são reciclados,Número anual de focos de incêndio por km²,Porcentagem do orçamento municipal anual destinado ao planejamento do gerenciamento de emergências,Alocação total de fundos de reserva para desastres como porcentagem do orçamento total da cidade,Porcentagem do orçamento municipal anual destinada à atualização e manutenção de infraestrutura de águas pluviais,Número anual de propriedades residenciais inundadas como porcentagem do total de propriedades residenciais na cidade,Porcentagem da área urbana exposta a risco de ameaças naturais,Porcentagem anual da população da cidade diretamente afetada por ameaças naturais,Porcentagem do orçamento municipal anual destinada a iniciativas de agricultura urbana,Porcentagem da população em domicílios em risco de insegurança alimentar,Total da área agrícola por habitante,Frequência anual dos eventos de tempestades extremas,Frequência anual de eventos de calor extremo,Frequência anual de eventos de frio extremo,Frequência anual de eventos de seca meteorológica,Intensidade dos eventos de tempestades extremas,Intensidade dos eventos de calor extremo,Intensidade dos eventos de frio extremo,Porcentagem da população da cidade com serviço de abastecimento de água potável,Porcentagem da população da cidade atendida por sistemas de coleta e afastamento de esgoto,Porcentagem da população da cidade com coleta regular de resíduos sólidos (domiciliar),Inexistência de banheiro exclusivo,Número de cômodos igual ao número de dormitórios,Adensamento excessivo de domicílios alugados,Domicílio cômodo,Adensamento excessivo de domicílios (exceto alugados),Domicílios rústicos,Domicílios improvisados em favelas e comunidades urbanas,Taxa de mortalidade de crianças menores de cinco anos a cada 1.000 nascidos vivos,Número de internações hospitalares por Doenças Relacionadas ao Saneamento Ambiental Inadequado – DRSAI por 100.000 habitantes,Presença de pessoas com deficiência (PCD),Renda per capita,Média do valor da terra nua rural,Taxa de distorção idade-série no Ensino Fundamental,Porcentagem de mães solo chefes de família,Taxa de alfabetização de pessoas economicamente ativas,Gravidez na adolescência (<19 anos),Mitigação,Adaptação,Déficit Habitacional,Vulnerabilidade Social,Índice de Resiliência Climática e Territorial
Região Metropolitana de Sorocaba,3500758,Alambari,159.6,6373,4538.70,10.45,181.05,10.45,0.00,0.00,0.00,0.00,0.02,0.03,0.80,0.28,0.00,0.00,0.00,0.32,0.00,1.99,0,8,8,1,0.0,4.8,9.0,80.36,100,65.40,0.09,2.53,0.61,0.00,1.78,0.28,0.00,14.90,31.38,19.18,1050.00,27377.06,7.90,8.04,97.19,0.94,0.68,6.38,3.43,4.44,4.37
Região Metropolitana de Sorocaba,3501152,Alumínio,83.619,17607,1433.69,49.56,131.44,49.56,0.53,20.36,0.00,3.31,0.10,0.13,0.51,0.07,0.00,1.05,0.00,0.00,0.00,0.26,1,10,9,0,7.4,5.3,8.3,91.00,100,58.82,0.03,3.36,0.93,0.15,1.11,0.17,0.00,5.90,11.36,11.74,1225.00,36385.12,4.70,11.62,97.97,1.14,1.73,5.66,3.38,3.26,5.04
Região Metropolitana de Campinas,3501608,Americana,133.912,247571,38.76,1.74,167.05,1.74,2.19,0.00,0.01,1.51,0.03,0.01,0.48,0.10,0.00,0.41,0.00,0.00,0.58,0.02,0,10,6,4,0.0,4.3,5.8,99.83,100,96.84,0.03,3.7,0.57,0.04,0.51,0.36,0.00,11.70,139.35,10.55,1666.67,63703.84,2.60,10.95,99.11,0.90,1.49,3.81,1.92,4.33,4.60
Região Metropolitana de Sorocaba,3502754,Araçariguama,145.247,22314,3057.11,5.55,164.13,5.55,0.73,0.18,1.68,0.00,0.08,0.45,0.82,0.21,0.00,1.20,0.00,0.00,0.22,0.29,1,10,8,2,3.8,4.5,8.0,77.76,87.79,51.88,0.03,9.31,2.3,0.00,2.55,0.69,0.00,25.20,53.78,19.09,1100.00,24090.43,7.30,11.16,96.69,2.52,1.45,4.33,5.79,4.96,3.63
Região Metropolitana de Sorocaba,3502903,Araçoiaba da Serra,255.305,33832,1150.17,2.06,190.13,2.06,1.31,0.26,0.00,1.40,0.02,0.08,1.04,0.00,0.00,0.25,0.00,0.54,3.94,0.57,0,7,9,0,0.0,4.9,9.2,99.42,100,43.94,0.08,5.25,0.2,0.00,1.38,0.66,0.00,8.90,5.91,14.59,1300.00,36949.65,2.30,9.81,98.07,1.18,1.32,5.32,3.18,3.13,4.91
Região Metropolitana de Campinas,3503802,Artur Nogueira,181.786,53467,205.43,2.19,142.45,2.19,2.25,0.33,0.01,0.00,0.02,0.52,3.46,0.00,0.09,0.27,96.80,0.47,0.03,0.29,0,9,9,4,0.0,3.6,8.4,91.16,100,89.94,0.02,3.97,0.66,0.00,1.05,0.06,0.00,11.20,35.54,13.34,1237.33,36410.61,3.30,12.25,97.04,1.61,2.26,6.95,1.80,3.67,6.61
Região Metropolitana de Sorocaba,3507001,Boituva,248.954,63850,411.73,4.53,165.39,4.53,5.07,0.05,0.01,9.14,0.04,0.08,1.35,0.14,0.00,0.01,0.00,0.36,0.08,0.30,0,9,8,0,0.0,4.8,8.9,98.13,100,80.59,0.03,3.95,0.97,0.10,1.23,0.34,0.00,9.90,54.82,11.65,1266.67,41383.78,2.60,11.19,97.96,1.19,1.56,6.29,2.53,3.51,5.53
Região Metropolitana de Campinas,3509502,Campinas,794.57,1187974,66.64,2.31,173.97,2.31,0.30,35.71,0.05,5.96,0.03,0.05,1.40,0.37,0.04,0.57,0.00,0.00,1.04,0.04,0,11,6,3,0.0,4.7,4.7,99.80,100,96.61,0.04,3.65,0.56,0.18,1.13,0.36,0.22,12.30,56.23,12.08,1500.00,57352.03,4.80,12.95,98.44,1.16,1.45,3.97,3.11,4.60,3.76
Região Metropolitana de Sorocaba,3510302,Capela do Alto,169.89,23777,1162.44,3.01,139.36,3.01,8.50,0.66,0.04,3.58,0.02,3.50,0.89,0.49,0.12,0.00,0.00,0.22,0.00,0.56,0,9,8,0,0.0,5.0,9.1,86.63,84.76,71.94,0.08,4.38,1.11,0.00,1.70,3.12,0.00,7.00,8.41,15.98,808.00,26319.67,2.20,10.43,96.98,2.80,2.34,7.21,5.61,3.37,5.13
Região Metropolitana de Sorocaba,3511508,Cerquilho,127.803,46391,175.91,4.52,159.68,4.52,2.27,0.23,0.00,2.30,0.00,0.45,0.37,0.00,0.00,0.11,0.00,0.00,0.00,0.22,0,9,8,1,0.0,4.7,8.7,94.73,100,94.73,0.01,3.03,0.74,0.08,0.68,0.37,0.00,16.80,53.89,13.60,1375.00,26000.7,2.30,11.54,98.59,0.78,1.52,6.36,2.28,2.96,6.12
