Município,Cluster,Sugestões e Recomendações para Melhorias
Alambari,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Alumínio,1,Cras euismod massa ut augue rutrum blandit.
Americana,2,Sed vel ligula fermentum orci hendrerit interdum ullamcorper at massa.
Araçariguama,3,Fusce sodales urna eget consequat pellentesque.
Araçoiaba da Serra,0,Suspendisse eget lectus a ligula tristique bibendum.
Artur Nogueira,1,Nullam placerat dolor a risus egestas congue.
Boituva,2,"Quisque faucibus purus at quam condimentum, ac malesuada tellus congue."
Campinas,3,Donec at dui nec orci pulvinar rutrum.
Capela do Alto,0,Pellentesque eget justo non lorem commodo euismod.
Cerquilho,1,Quisque tempus justo nec dapibus pharetra.
Cesário Lange,2,Pellentesque ut ipsum suscipit augue mollis pellentesque eget non erat.
Cosmópolis,3,Donec in massa non nulla consectetur eleifend.
Diadema,0,"Morbi id est bibendum, pellentesque elit non, consequat velit."
Engenheiro Coelho,1,"Pellentesque at elit sodales, rutrum tortor sit amet, molestie justo."
Holambra,2,"Curabitur aliquam lorem nec ligula feugiat, auctor cursus est mattis."
Hortolândia,3,Integer euismod enim non mollis faucibus.
Ibiúna,0,Suspendisse imperdiet justo ut nisl volutpat pretium.
Indaiatuba,1,Duis in sem non quam dignissim aliquam et non nulla.
Iperó,2,Fusce eget magna imperdiet ipsum scelerisque pellentesque.
Itapetininga,3,Integer eleifend ligula id fermentum auctor.
Itatiba,0,Maecenas feugiat urna sit amet placerat tempor.
Itu,1,"Mauris eu odio blandit, vestibulum odio non, scelerisque mauris."
Jaguariúna,2,"Fusce vitae justo vulputate, interdum est ut, tempus urna."
Jumirim,3,"Nam porttitor elit non quam rhoncus, in pellentesque tortor condimentum."
Mairinque,0,"Morbi in mauris tristique, finibus nisl at, dapibus dolor."
Mauá,1,Donec sit amet nunc sit amet felis cursus vulputate vitae et ipsum.
Monte Mor,2,Morbi sodales quam sit amet dui efficitur lacinia.
Morungaba,3,Praesent non mi at augue elementum scelerisque.
Nova Odessa,0,"Sed sed mi tempus, interdum lorem in, elementum metus."
Paulínia,1,Nam semper quam id arcu auctor rhoncus.
Pedreira,2,Pellentesque dignissim ex quis semper efficitur.
Piedade,3,Suspendisse eget nulla sed tortor fringilla dictum id sed ligula.
Pilar do Sul,0,Curabitur ultrices velit sed mollis lobortis.
Porto Feliz,1,"Fusce placerat arcu ac dolor tincidunt, ut commodo ex faucibus."
Ribeirão Pires,2,Cras sed dui non urna dictum consectetur.
Rio Grande da Serra,3,"Aenean eu urna volutpat, tempor enim tristique, vehicula nisi."
Salto,0,"Nulla a sapien hendrerit, efficitur nibh vitae, accumsan velit."
Salto de Pirapora,1,Ut dictum massa nec dignissim cursus.
Santa Bárbara D'Oeste,2,Morbi viverra turpis tincidunt dui tempus viverra.
Santo André,3,"Duis nec ante elementum, blandit orci sed, efficitur eros."
Santo Antônio de Posse,0,Nunc eu sapien ac lectus tincidunt posuere quis eu mauris.
São Bernardo do Campo,1,Proin tempus enim id ornare fringilla.
São Caetano do Sul,2,Morbi a mauris ut turpis suscipit lobortis.
São Miguel Arcanjo,3,Proin molestie nisi in nisi tincidunt dignissim.
São Roque,0,Praesent euismod tortor nec ligula hendrerit rutrum.
Sarapuí,1,Mauris commodo libero dictum tellus accumsan consectetur.
Sorocaba,2,"Aliquam id dolor suscipit, accumsan nulla ac, pellentesque ipsum."
Sumaré,3,Donec nec lacus ut sapien congue semper ut vel turpis.
Tapiraí,0,Nunc bibendum odio vitae convallis pellentesque.
Tatuí,1,Duis blandit dui in orci fermentum efficitur.
Tietê,2,"Nam pulvinar libero vel dui dapibus, sit amet lacinia ipsum elementum."
Valinhos,3,Morbi aliquam nunc eu sagittis interdum.
Vinhedo,0,Integer at lorem vel nisl maximus fringilla in ut nunc.
Votorantim,1,"Donec ullamcorper nisl ut lacus lacinia, ut tempus sem convallis."
Alambari,2,Nam mattis mauris ac enim tincidunt semper.
Alumínio,3,Nam malesuada nulla id elit rhoncus varius.
Americana,0,Sed a orci ac eros dictum laoreet.
Araçariguama,1,Donec vitae mi eget leo blandit suscipit.
Araçoiaba da Serra,2,"Ut vel elit sollicitudin, condimentum purus viverra, consequat eros."
Artur Nogueira,3,"Curabitur sed lectus luctus, mattis magna vel, mattis lorem."
Boituva,0,Vestibulum porttitor nisl nec tempor rhoncus.
Campinas,1,"Sed interdum enim ac massa gravida, volutpat maximus felis tempus."
Capela do Alto,2,Ut auctor urna nec lectus euismod facilisis.
Cerquilho,3,Fusce in libero eu elit interdum consectetur sit amet nec est.
Cesário Lange,0,Pellentesque quis justo in nisl convallis feugiat ut id mauris.
Cosmópolis,1,"Maecenas nec eros finibus, aliquam arcu vehicula, pellentesque sem."
Diadema,2,Cras faucibus elit nec aliquam hendrerit.
Engenheiro Coelho,3,Integer volutpat elit eget nisl dignissim viverra.
Holambra,0,Ut id tortor at ex iaculis rutrum.
Hortolândia,1,Nullam vitae risus quis ipsum mattis rutrum.
Ibiúna,2,Quisque accumsan est sit amet ante viverra commodo.
Indaiatuba,3,"Sed porttitor ante eu tortor interdum, commodo lacinia leo dictum."
Iperó,0,"Phasellus cursus mi vel ipsum consequat, vel maximus nibh fermentum."
Itapetininga,1,Etiam egestas ipsum a semper pharetra.
Itatiba,2,"Mauris efficitur odio in mauris tincidunt, sit amet fermentum mi ullamcorper."
Itu,3,Cras pellentesque nisl ut sollicitudin rhoncus.
Jaguariúna,0,Cras ullamcorper velit eu elit laoreet fringilla.
Jumirim,1,"Sed at nisi lobortis, vehicula sem dignissim, fringilla velit."
Mairinque,2,Ut dictum lectus eget tincidunt vulputate.
Mauá,3,Vestibulum non ex vitae quam egestas egestas.
Monte Mor,0,"Donec mollis risus ac velit blandit, ac aliquet magna varius."
Morungaba,1,Integer convallis odio sit amet auctor tincidunt.
Nova Odessa,2,Phasellus non dolor sit amet diam molestie tempor.
Paulínia,3,"Vestibulum tempor metus ac nisl blandit, a porta tortor condimentum."
Pedreira,0,Mauris molestie lacus a magna malesuada mollis.
Piedade,1,Cras ac nisi eu nisl convallis suscipit.
Pilar do Sul,2,"Donec quis libero faucibus, tincidunt nisl quis, fermentum risus."
Porto Feliz,3,Ut non metus ut magna fringilla porttitor.
Ribeirão Pires,0,"Maecenas commodo nisl sit amet urna varius, non pretium est bibendum."
Rio Grande da Serra,1,"Ut a lectus condimentum, sagittis velit nec, scelerisque sapien."
Salto,2,Suspendisse non nisi at arcu commodo ultricies sed quis neque.
Salto de Pirapora,3,Aenean commodo sem ac libero posuere lacinia.
Santa Bárbara D'Oeste,0,Mauris suscipit ligula venenatis sem accumsan blandit.
Santo André,1,"Aliquam at nibh rutrum, pretium turpis vitae, laoreet eros."
Santo Antônio de Posse,2,Sed molestie risus ut ipsum lacinia accumsan.
São Bernardo do Campo,3,"Proin non lectus pharetra, accumsan dui vel, tristique est."
São Caetano do Sul,0,Mauris consectetur lorem a turpis viverra consequat.
São Miguel Arcanjo,1,"Proin id ligula vestibulum, lacinia est at, blandit ipsum."
São Roque,2,Donec molestie metus at eleifend cursus.
Sarapuí,3,"Aenean quis tellus iaculis, fermentum nulla in, volutpat quam."
Sorocaba,0,Duis suscipit tortor ac ultricies tristique.
Sumaré,1,Mauris volutpat tortor sit amet accumsan venenatis.
Tapiraí,2,Phasellus nec sem non augue vestibulum convallis sit amet eu leo.
Tatuí,3,Suspendisse vitae ipsum fermentum libero pellentesque sagittis at eget lectus.
Tietê,0,"Aliquam aliquet turpis ut ligula cursus, id faucibus est porttitor."
Valinhos,1,"Ut sollicitudin arcu et mi elementum, vel rutrum ligula fringilla."
Vinhedo,2,"Nunc pretium ligula sit amet massa laoreet, eu bibendum nunc pulvinar."
Votorantim,3,Vestibulum fringilla nisl id rhoncus finibus.
Alambari,0,Mauris aliquet orci eget dui porta dapibus.
Alumínio,1,Mauris tempor ante non libero rutrum placerat.
Americana,2,Proin non augue nec nunc viverra euismod.
Araçariguama,3,"Praesent quis nunc dictum, convallis nulla eu, rhoncus ante."
Araçoiaba da Serra,0,"Nunc sed sapien maximus, imperdiet ligula eu, consequat nunc."
Artur Nogueira,1,Curabitur imperdiet ante vel tempor condimentum.
Boituva,2,Fusce interdum nibh in facilisis dignissim.
Campinas,3,"Nunc congue ante nec tortor molestie, sit amet venenatis risus imperdiet."
Capela do Alto,0,"Duis accumsan mauris consectetur purus tincidunt, non tempus dolor dapibus."
Cerquilho,1,"Phasellus molestie nunc vel orci rutrum, eu dignissim leo congue."
Cesário Lange,2,Maecenas porta quam quis feugiat auctor.
Cosmópolis,3,"Pellentesque at urna malesuada, congue odio non, iaculis dolor."
Diadema,0,Proin ac quam nec mi ornare mattis.
Engenheiro Coelho,1,"Duis euismod sem eget ante finibus, venenatis feugiat ipsum cursus."
Holambra,2,Duis vitae dui vel nibh commodo bibendum.
Hortolândia,3,Pellentesque gravida mauris non nunc auctor interdum.
Ibiúna,0,"Praesent aliquet nibh sit amet elit commodo, in tristique erat gravida."
Indaiatuba,1,"Sed nec est lobortis, ultrices neque venenatis, bibendum urna."
Iperó,2,"Nunc vitae nisl gravida, dapibus erat consectetur, sollicitudin libero."
Itapetininga,3,"Aenean tristique libero nec justo volutpat, vitae mollis justo fringilla."
Itatiba,0,Nulla dictum risus a sapien vulputate semper.
Itu,1,"Fusce auctor nibh facilisis, aliquam lacus non, pulvinar nisl."
Jaguariúna,2,"Vivamus imperdiet dolor quis nibh pulvinar, eget efficitur justo molestie."
Jumirim,3,Vestibulum lobortis augue id ultrices fermentum.
Mairinque,0,Fusce eget felis semper arcu malesuada feugiat dignissim et libero.
Mauá,1,Aenean imperdiet erat ut sodales ultrices.
Monte Mor,2,"Vestibulum ac purus congue, ultrices arcu ac, blandit mi."
Morungaba,3,Pellentesque sed ex a eros sagittis bibendum.
Nova Odessa,0,Sed blandit elit sed suscipit tempus.
Paulínia,1,"Aliquam tincidunt tortor a lacus faucibus, id commodo ligula malesuada."
Pedreira,2,Duis quis enim vel orci suscipit finibus vitae vel est.
Piedade,3,"Morbi et quam vulputate, pellentesque felis et, aliquam dolor."
Pilar do Sul,0,Aliquam sollicitudin mi at tortor laoreet molestie.
Porto Feliz,1,"Pellentesque vel mi sagittis, consequat nibh in, consectetur arcu."
Ribeirão Pires,2,Maecenas vehicula ligula eu velit rutrum lobortis eu sit amet justo.
Rio Grande da Serra,3,Aliquam mollis tortor vel magna finibus sollicitudin.
Salto,0,Donec commodo risus vel consectetur condimentum.
Salto de Pirapora,1,"Nulla vitae diam luctus, faucibus justo sit amet, pretium lorem."
Santa Bárbara D'Oeste,2,Donec varius velit sit amet odio blandit maximus.
Santo André,3,Sed condimentum erat non dignissim condimentum.
Santo Antônio de Posse,0,Maecenas maximus quam in blandit cursus.
São Bernardo do Campo,1,Nullam at elit nec purus tincidunt feugiat auctor et lorem.
São Caetano do Sul,2,"Integer finibus lorem ut eros commodo, a auctor est euismod."
São Miguel Arcanjo,3,Aenean semper nisi vel magna porttitor laoreet.
São Roque,0,Suspendisse vehicula quam nec porttitor commodo.
Sarapuí,1,Cras quis magna sit amet orci elementum vestibulum.
Sorocaba,2,Vestibulum sed sapien eu arcu rutrum faucibus.
Sumaré,3,Mauris placerat felis et magna placerat ornare.
Tapiraí,0,Nullam malesuada ligula id euismod sagittis.
Tatuí,1,Donec pulvinar augue sed interdum rhoncus.
Tietê,2,Donec efficitur justo vitae dui vulputate interdum.
Valinhos,3,Vivamus mattis augue id turpis convallis iaculis.
Vinhedo,0,Duis malesuada turpis sed dui imperdiet egestas.
Votorantim,1,Ut tristique erat in tristique blandit.
Alambari,2,Phasellus vel purus non dui tempor commodo ut vitae nunc.
Alumínio,3,Vivamus consequat dui vel elit dapibus consectetur.
Americana,0,"Suspendisse dignissim felis blandit, pulvinar dolor vitae, varius velit."
Araçariguama,1,Maecenas dignissim enim ut arcu bibendum finibus.
Araçoiaba da Serra,2,Mauris placerat quam ut dictum auctor.
Artur Nogueira,3,Praesent aliquam enim vitae ipsum vulputate dictum.
Boituva,0,Nullam iaculis purus ut eleifend dapibus.
Campinas,1,Donec fringilla ligula in eros hendrerit maximus.
Capela do Alto,2,Maecenas sagittis quam et imperdiet vulputate.
Cerquilho,3,Praesent mattis ipsum nec commodo imperdiet.
Cesário Lange,0,"Duis in lorem volutpat, pretium ex ut, scelerisque lectus."
Cosmópolis,1,Phasellus quis mauris ac felis semper commodo.
Diadema,2,Vivamus dapibus dolor eget varius faucibus.
Engenheiro Coelho,3,In ultrices nunc in velit luctus ultrices.
Holambra,0,Etiam vulputate nisi eget metus sagittis pretium.
Hortolândia,1,Nulla sed dui nec massa tempor eleifend.
Ibiúna,2,Phasellus ac diam eu nisi sagittis aliquet porta nec risus.
Indaiatuba,3,Suspendisse viverra quam sit amet tellus maximus ultricies.
Iperó,0,Sed mollis magna sit amet tellus gravida aliquam.
Itapetininga,1,Phasellus at sem id magna ullamcorper posuere a eu est.
Itatiba,2,Nullam semper enim lobortis efficitur imperdiet.
Itu,3,"Sed quis metus tempor, gravida turpis ut, ultrices ex."
Jaguariúna,0,Fusce ornare enim id velit iaculis dignissim.
Jumirim,1,"Quisque et nibh efficitur, convallis justo vitae, porta sem."
Mairinque,2,"Aenean tristique lectus in tortor posuere, quis bibendum sapien dapibus."
Mauá,3,"Duis ut erat mattis, vestibulum enim mattis, ultricies ligula."
Monte Mor,0,Vestibulum nec leo sed purus egestas malesuada fringilla venenatis odio.
Morungaba,1,Nulla venenatis ante at mauris consectetur tempor.
Nova Odessa,2,Ut sodales urna in tortor mattis euismod.
Paulínia,3,"Duis feugiat libero a nunc maximus, porttitor molestie elit sodales."
Pedreira,0,Donec sit amet turpis ac libero feugiat pellentesque.
Piedade,1,"Suspendisse scelerisque erat a odio ultricies, at eleifend nisi imperdiet."
Pilar do Sul,2,Duis fermentum sem non sodales dignissim.
Porto Feliz,3,Pellentesque vitae purus bibendum erat ultricies aliquet.
Ribeirão Pires,0,Maecenas hendrerit leo ornare consectetur scelerisque.
Rio Grande da Serra,1,Sed eget ante vitae libero tempus malesuada.
Salto,2,Integer condimentum enim eu felis ultricies finibus.
Salto de Pirapora,3,Cras condimentum enim nec dictum malesuada.
Santa Bárbara D'Oeste,0,Vestibulum aliquam nibh eget dolor cursus elementum.
Santo André,1,Nam eu libero eget diam convallis fermentum ut sit amet sem.
Santo Antônio de Posse,2,In suscipit lacus sit amet metus euismod ornare.
São Bernardo do Campo,3,Ut quis mi id velit maximus imperdiet.
São Caetano do Sul,0,"Etiam fermentum lacus non nisi molestie, vel consequat augue mollis."
São Miguel Arcanjo,1,Praesent condimentum metus id mauris commodo blandit.
São Roque,2,Vestibulum quis justo nec ante pretium tempus.
Sarapuí,3,Morbi quis neque at arcu pretium convallis vitae dictum arcu.
Sorocaba,0,"Proin malesuada diam sit amet arcu mattis, sed lobortis dolor consequat."
Sumaré,1,Morbi vulputate quam non mollis sollicitudin.
Tapiraí,2,Duis at sapien ut sapien vehicula tristique.
Tatuí,3,Donec in ligula sed sapien dignissim vestibulum.
Tietê,0,"Vestibulum ac sem tristique, sodales arcu vitae, volutpat dui."
